,Date,Confirmed,Recovered,Deceased,PM2.5,NO,NO2,NOx,SO2,CO
340,2021-04-05,470718,435268,24626,55.35,6.23,23.61,22.73,9.78,0.94
341,2021-04-06,475064,437765,24732,49.86,6.67,29.38,26.98,6.84,0.75
342,2021-04-07,480125,439617,24827,53.47,10.02,27.98,29.04,8.35,0.75
343,2021-04-08,484601,440914,24903,48.91,10.25,28.84,28.62,5.89,0.62
344,2021-04-09,490248,442953,25003,50.05,10.82,25.83,28.39,7.3,0.63
345,2021-04-10,494784,445132,25174,36.9,11.12,20.92,26.84,6.33,0.52
346,2021-04-11,502485,446433,25318,29.64,12.69,27.15,25.86,7.39,0.54
347,2021-04-12,509064,447663,25550,29.68,8.91,59.03,18.06,7.19,0.45
348,2021-04-13,514727,452241,25768,26.93,8.31,23.38,25.13,6.08,0.6
349,2021-04-14,522930,454829,25839,23.09,9.62,26.52,28.92,5.38,0.87
350,2021-04-15,533598,456807,26040,33.69,7.88,32.57,33.64,5.18,0.68
351,2021-04-16,543873,459236,26455,35.75,7.8,33.57,34.61,5.37,0.75
352,2021-04-17,555539,462751,26760,37.84,7.65,27.08,29.44,5.44,0.66
353,2021-04-18,568577,465556,27065,40.06,8.11,34.4,33.76,5.62,0.74
354,2021-04-19,578375,469976,27342,41.44,6.13,33.49,32.47,4.87,0.79
355,2021-04-20,592670,472524,27947,44.0,5.96,27.8,26.53,5.75,0.78
356,2021-04-21,606854,476577,28561,37.24,6.09,30.05,29.43,6.35,0.7
357,2021-04-22,622503,479239,29034,26.47,5.4,22.13,22.65,5.27,0.73
358,2021-04-23,639753,484554,29746,25.13,4.98,20.18,20.58,4.55,0.74
359,2021-04-24,657779,489884,30579,38.35,5.22,24.51,25.45,5.28,0.73
360,2021-04-25,679376,493033,31520,46.93,6.23,28.94,27.44,5.62,0.71
361,2021-04-26,696426,497851,32130,45.69,6.27,28.89,27.48,5.35,0.75
362,2021-04-27,714575,502349,32826,44.38,5.31,24.91,25.03,5.79,0.72
363,2021-04-28,737903,507611,33695,41.82,4.78,23.45,23.87,5.26,0.69
364,2021-04-29,758669,514868,34967,36.34,4.75,22.78,23.58,5.33,0.84
365,2021-04-30,786243,520809,35878,41.81,4.49,21.29,22.55,6.44,0.7
